,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,87,151.8817232858191,1.0,0.29618806933521163,109.23566812780889,1.5,0.4787127442170585,89.64555722257789,10.0,0.25331554346928054,61.822082511333775,1.5,0.949101428254653,224.1036776748476,1.0,0.7918764914970765,3.5,1.5,4.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,0,Policy_000,dikesnet
1,23,200.05554729560512,10.0,0.9931655420625853,215.41926279957465,10.0,0.38048203594029867,141.23374978819388,10.0,0.058925545430276505,289.9672299774719,1.0,0.5780432938005965,274.36202065090805,10.0,0.8785915046757701,4.5,2.5,4.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,1,Policy_000,dikesnet
2,94,44.76359492654017,1.5,0.006332247763223644,226.1747772888528,10.0,0.21812409036489047,322.3164981470355,10.0,0.3300703716602828,211.68141506526925,1.5,0.22209546656421494,213.42046955146367,1.5,0.883285311790905,4.5,3.5,1.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,2,Policy_000,dikesnet
3,13,63.666828481377145,10.0,0.474148330872641,84.63206703460081,1.0,0.5021106677617128,228.67422301545935,1.5,0.8340903680939986,335.142375516424,1.5,0.8969100274679801,304.9041498615597,10.0,0.08933603522802838,2.5,4.5,2.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,3,Policy_000,dikesnet
4,65,321.398258495497,1.5,0.6224544712410915,278.51337027530275,1.0,0.6329465786877028,154.99574761783566,1.0,0.5417065427708422,118.23807210644269,10.0,0.9632887909861804,55.741828097696484,1.0,0.49994135517358057,2.5,2.5,3.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,4,Policy_000,dikesnet
5,77,158.77478330737364,10.0,0.5104977598626204,63.49452344862212,1.5,0.6753897442019436,44.276855581313114,1.0,0.6885082126831005,236.28941736217345,1.0,0.40244065104161797,187.7637155064768,1.0,0.4376669266334796,3.5,1.5,1.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,5,Policy_000,dikesnet
6,107,136.2251509749105,1.0,0.857499416574864,122.45772042414656,1.5,0.8140460631587089,284.57433796528323,1.5,0.11926202537651392,308.8876161069301,1.0,0.5144059877282435,292.0451236240471,1.5,0.9229432361379158,3.5,4.5,2.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,6,Policy_000,dikesnet
7,55,275.2984903704376,10.0,0.21609216987004193,308.1497367438966,10.0,0.9563823004992048,125.72312526834779,1.0,0.12023552031367296,78.46146986635125,10.0,0.7722842801120193,132.16775267775273,10.0,0.32977539214573326,1.5,1.5,4.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,7,Policy_000,dikesnet
8,82,329.1567416852022,1.0,0.11681008594812967,68.81034288656338,1.0,0.8410925469532249,239.63265426174405,10.0,0.42788527003559346,125.03409965110134,1.5,0.1394259340289712,39.17033365017908,10.0,0.7201645126126485,1.5,3.5,1.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,8,Policy_000,dikesnet
9,19,176.61911703147462,1.5,0.5787943386108845,236.08689993851874,1.0,0.5919015139543281,332.4548924271592,10.0,0.8709707198422297,285.8142268466284,10.0,0.3262953472402957,173.1193798803618,10.0,0.16971988270650865,4.5,4.5,4.5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,4,9,2,0,2,2,0,4,2,0,7,10,2,6,7,0,9,Policy_000,dikesnet
