Outcome,Uncertainty,S1,S1_conf,ST,ST_conf
Expected Annual Damage,A.0_ID flood wave shape,-0.18487952972795632,0.14739714783343513,0.4107721745079643,0.6397735093900231
Expected Annual Damage,A.1_Bmax,-0.10034624261092773,0.16454413111746657,0.5618034616524843,0.5630764322658331
Expected Annual Damage,A.1_Brate,0.1611723472781826,0.18087577626069437,0.13667803843115678,0.12101395055370072
Expected Annual Damage,A.1_pfail,-0.2111343892674586,0.1573350987855087,0.3171936492698839,0.405056901336216
Expected Annual Damage,A.2_Bmax,-0.11521616330401789,0.15451779469732865,0.14172620400102398,0.17931452533566475
Expected Annual Damage,A.2_Brate,-0.09281838167261063,0.15265265599089983,0.2818675440030357,0.41038152830143926
Expected Annual Damage,A.2_pfail,0.5787585141171874,0.49728100327019104,1.9402871376826458,1.656075200950832
Expected Annual Damage,A.3_Bmax,-0.16170282814738166,0.14702456780608883,0.27103348574456293,0.36055081524992444
Expected Annual Damage,A.3_Brate,-0.05200840010249253,0.15043422317175595,0.9514813577770059,1.0127092243092606
Expected Annual Damage,A.3_pfail,-0.1307479520032648,0.15091920055029695,0.12750888353829792,0.15667707949139062
Expected Annual Damage,A.4_Bmax,-0.2085611256247346,0.1675813028381882,0.402195451779843,0.5485348165993784
Expected Annual Damage,A.4_Brate,-0.14935120175490782,0.14749915240801384,0.12276482311052704,0.16128385320518804
Expected Annual Damage,A.4_pfail,-0.14147296151080127,0.1379305224747846,0.11683903425391423,0.1553328869753828
Expected Annual Damage,A.5_Bmax,-0.1458645224339261,0.14631118286966371,0.25631753412077424,0.3174835163115247
Expected Annual Damage,A.5_Brate,-0.18754236471653477,0.14984622438076003,0.1305066772983962,0.1634478509208908
Expected Annual Damage,A.5_pfail,-0.1863942540686224,0.16727965451433233,0.3717384740015306,0.43716498384718344
Expected Annual Damage,discount rate 0,0.20466686883878438,0.2885178686073178,0.6222052081603439,0.5641240877342014
Expected Annual Damage,discount rate 1,-0.1876503816164215,0.14922061181515858,0.12969637260724334,0.167661843721181
Expected Annual Damage,discount rate 2,-0.17096620991370465,0.17524033814347814,0.845619808849786,0.8314148333380889
Dike Investment Costs,A.0_ID flood wave shape,0.0,0.0,0.0,0.0
Dike Investment Costs,A.1_Bmax,0.0,0.0,0.0,0.0
Dike Investment Costs,A.1_Brate,0.0,0.0,0.0,0.0
Dike Investment Costs,A.1_pfail,0.0,0.0,0.0,0.0
Dike Investment Costs,A.2_Bmax,0.0,0.0,0.0,0.0
Dike Investment Costs,A.2_Brate,0.0,0.0,0.0,0.0
Dike Investment Costs,A.2_pfail,0.0,0.0,0.0,0.0
Dike Investment Costs,A.3_Bmax,0.0,0.0,0.0,0.0
Dike Investment Costs,A.3_Brate,0.0,0.0,0.0,0.0
Dike Investment Costs,A.3_pfail,0.0,0.0,0.0,0.0
Dike Investment Costs,A.4_Bmax,0.0,0.0,0.0,0.0
Dike Investment Costs,A.4_Brate,0.0,0.0,0.0,0.0
Dike Investment Costs,A.4_pfail,0.0,0.0,0.0,0.0
Dike Investment Costs,A.5_Bmax,0.0,0.0,0.0,0.0
Dike Investment Costs,A.5_Brate,0.0,0.0,0.0,0.0
Dike Investment Costs,A.5_pfail,0.0,0.0,0.0,0.0
Dike Investment Costs,discount rate 0,0.0,0.0,0.0,0.0
Dike Investment Costs,discount rate 1,0.0,0.0,0.0,0.0
Dike Investment Costs,discount rate 2,0.0,0.0,0.0,0.0
RfR Investment Costs,A.0_ID flood wave shape,0.0,0.0,0.0,0.0
RfR Investment Costs,A.1_Bmax,0.0,0.0,0.0,0.0
RfR Investment Costs,A.1_Brate,0.0,0.0,0.0,0.0
RfR Investment Costs,A.1_pfail,0.0,0.0,0.0,0.0
RfR Investment Costs,A.2_Bmax,0.0,0.0,0.0,0.0
RfR Investment Costs,A.2_Brate,0.0,0.0,0.0,0.0
RfR Investment Costs,A.2_pfail,0.0,0.0,0.0,0.0
RfR Investment Costs,A.3_Bmax,0.0,0.0,0.0,0.0
RfR Investment Costs,A.3_Brate,0.0,0.0,0.0,0.0
RfR Investment Costs,A.3_pfail,0.0,0.0,0.0,0.0
RfR Investment Costs,A.4_Bmax,0.0,0.0,0.0,0.0
RfR Investment Costs,A.4_Brate,0.0,0.0,0.0,0.0
RfR Investment Costs,A.4_pfail,0.0,0.0,0.0,0.0
RfR Investment Costs,A.5_Bmax,0.0,0.0,0.0,0.0
RfR Investment Costs,A.5_Brate,0.0,0.0,0.0,0.0
RfR Investment Costs,A.5_pfail,0.0,0.0,0.0,0.0
RfR Investment Costs,discount rate 0,0.0,0.0,0.0,0.0
RfR Investment Costs,discount rate 1,0.0,0.0,0.0,0.0
RfR Investment Costs,discount rate 2,0.0,0.0,0.0,0.0
Evacuation Costs,A.0_ID flood wave shape,-0.12719024356602393,0.1546120171834084,0.09215244094416158,0.15053998169017296
Evacuation Costs,A.1_Bmax,0.029068194810415053,0.1999921196639194,0.1948188843487417,0.25660768514991567
Evacuation Costs,A.1_Brate,0.25490482025430816,0.2175461704077572,0.0945501012754327,0.11154731050533362
Evacuation Costs,A.1_pfail,-0.13969372108295514,0.1569249944835725,0.2979403625933444,0.5001834000301373
Evacuation Costs,A.2_Bmax,-0.022474209817838205,0.17610083207755967,0.08959333668766631,0.1525852835262171
Evacuation Costs,A.2_Brate,-0.009431426213999776,0.13677723861515986,0.06448758186054673,0.0910018748049771
Evacuation Costs,A.2_pfail,0.2974103145784352,0.4439354355740283,0.1760273385490848,0.16649436669211656
Evacuation Costs,A.3_Bmax,-0.10413908658719351,0.14928095353190104,0.08474631796502907,0.13797608300032319
Evacuation Costs,A.3_Brate,0.04036147179194299,0.11469830329537925,0.06950334438817705,0.08908094536263346
Evacuation Costs,A.3_pfail,-0.06396452018863918,0.15181426754827526,0.06600857922117992,0.12744382458847112
Evacuation Costs,A.4_Bmax,-0.12723332100331536,0.15787941549485562,0.20278601598276702,0.39318181460623364
Evacuation Costs,A.4_Brate,-0.08424325387764865,0.1472996646948927,0.06504169850997506,0.12591297741728097
Evacuation Costs,A.4_pfail,-0.08920575677270193,0.14865771029612113,0.06761603347866015,0.13573102274782864
Evacuation Costs,A.5_Bmax,-0.08677892361282001,0.1607998287119736,0.09807297058682243,0.1500154060682145
Evacuation Costs,A.5_Brate,-0.12345549407236192,0.15500460673828112,0.07960854127917179,0.1410397267649501
Evacuation Costs,A.5_pfail,-0.052123908700633194,0.17351306957768098,0.14334998763355875,0.1761057174384317
Evacuation Costs,discount rate 0,0.40948551376546544,0.40686506180647275,0.23549269643760118,0.17095357815074044
Evacuation Costs,discount rate 1,-0.13591634742494305,0.15611771109734612,0.07649009531619597,0.1463955766086749
Evacuation Costs,discount rate 2,-0.025126862146496284,0.26574211628711,0.6054699421238359,0.8866172684626811
Expected Number of Deaths,A.0_ID flood wave shape,-0.2762906708703886,0.35765690439325637,0.20783515975077413,0.4350994337203701
