,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3,5,2,7,6,3,5,3,8,1,5,8,4,1,0,4,23030735.199517712,588710480.0518422,625800000.0,1408.3100289287243,0.0024678155366705664
1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,6,10,5,3,3,7,7,1,1,8,0,4,0.0,588492257.642272,710400000.0,0.0,0.0
2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,6,10,8,10,0,0,2,7,7,6,1,10,593012.8975958979,688461895.652514,425300000.0,0.0,0.00032955377589240394
3,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,2,0,4,3,1,0,5,1,2,4,3,2,2,5,8,6,6666544.287001833,449912695.8851018,741100000.0,283.0734571676685,0.0009283403280127348
4,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,3,2,10,2,7,0,0,3,6,9,3,5,5,0,3,2,24689720.05156203,477953214.7339036,694800000.0,1521.8287693019038,0.0026202986098261072
5,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,10,4,3,1,1,0,4,2,4,10,8,8,3,3,8,1884883.7290925689,587244269.338932,638600000.0,48.29001109763905,0.0006265236743447678
6,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,3,4,6,0,4,0,2,1,5,3,8,8,6,3,5,9,0.0,498464879.41945356,995500000.0,0.0,0.0
7,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,9,0,2,3,5,0,6,3,5,4,0,9,2,4,2,0.0,476659615.3041891,1180300000.0,0.0,0.0
8,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,4,3,0,5,6,1,7,3,6,7,3,0,0,0,6,2,6263868.17215453,495273856.7016133,908600000.0,451.02986356164854,0.0006637240001879155
9,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,4,0,2,10,1,0,6,2,7,6,1,9,10,2,5,5,3769767.4581851377,513589999.0864745,943300000.0,232.39567840738795,0.00041768244956317846
10,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,2,6,6,2,5,10,8,0,4,10,3,7,6,4,0,3,0.0,689349716.1449771,624900000.0,0.0,0.0
11,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,7,4,8,7,8,4,4,1,6,5,3,8,8,8,9,0.0,835271322.1966387,581600000.0,0.0,0.0
12,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,10,8,5,4,0,1,3,9,2,7,0,7,4,9,1370140.6482370612,665752149.3834294,523300000.0,0.0,0.002162903292661069
13,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,2,2,3,0,3,1,6,7,0,8,7,9,7,7,0,7870999.288663708,453791758.5184784,1595900000.0,0.0,0.007199260889333509
