,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,2,1,2,9,0,0,1105793.6830854486,187251350.32944095,61400000.0,0.0,0.001174359138004405
1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,2,6,0,0,35790607.85393959,86419209.73616385,357700000.0,0.0,0.027540512764925907
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,3,0,6,0,0,352303408.566298,119430439.3769485,30700000.0,0.0,0.2898399654716618
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,5,3,7,0,0,21088984.389018975,129355829.49331728,84600000.0,0.0,0.035374489540379944
4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,2,7,0,0,10859093.234160129,122190636.34193191,115300000.0,0.0,0.010969558339307597
5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,2,4,6,0,0,39612361.84687751,131665158.15018268,61400000.0,2912.079608926344,0.0051297868813777354
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,5,1,0,9,0,0,7397056.323879439,145350183.8711226,30700000.0,0.0,0.008695997873159722
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,3,1,0,6,0,0,49137359.70964301,129408538.8223485,30700000.0,0.0,0.05487695406180965
8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,3,6,0,0,66587467.88157864,89930413.21353784,115300000.0,0.0,0.09369128509031986
9,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,5,0,0,1,2,7,9,0,0,1249733.8558385295,153881506.5737002,182600000.0,0.0,0.0011156457241760197
10,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,3,0,0,0,0,0,6,0,0,1,2,3,9,0,0,1249733.8558385295,150057667.37747735,182600000.0,89.4088193056315,0.00013387748690112233
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,2,2,6,0,0,38430213.101936966,142662669.0796982,30700000.0,0.0,0.07576080280251776
12,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,6,0,0,1,5,0,6,0,0,1511586.547502392,131731777.15214857,357700000.0,0.0,0.0017699724562959904
13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,3,2,3,7,0,0,7397056.323879439,134850152.48646235,115300000.0,0.0,0.008695997873159722
14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,2,2,0,9,0,0,1507789.5581538458,141978114.72269833,61400000.0,0.0,0.0017615387070066075
15,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,6,0,0,15929951.278181685,75130459.6226385,575500000.0,0.0,0.031862896010584264
16,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,5,0,6,0,0,1511586.547502392,92263035.51738322,442300000.0,0.0,0.0017699724562959904
17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,2,5,6,0,0,56318852.06518695,90842705.22925048,115300000.0,1616.4656311659414,0.007377582718479632
18,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,5,3,6,0,0,2207995.0836606715,129996290.4748418,357700000.0,0.0,0.002244570596041154
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,2,2,0,6,0,0,49137359.70964301,129137784.38954028,30700000.0,3567.5867489193083,0.00658523448741716
