,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
6,101,54.51357184990678,1.5,0.8147287896368296,349.2910361919663,1.5,0.0728384270623439,329.33165589939466,1.5,0.0252228638310604,173.3555927601433,10.0,0.1666840403643127,45.64463127043574,1.5,0.3531713307959094,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,2704715959.6544714,0,0.0,0.0,4.062774203663868,0.0
7,94,346.96871945044694,1.5,0.4859650307166387,109.59249002892152,1.0,0.5401849940535631,322.7634071932701,1.5,0.0088444163032183,76.45044207309,1.5,0.3080240784967734,216.32607748093483,1.5,0.655685684873048,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,2416026454.440889,0,0.0,0.0,3.5908059607365823,0.0
20,2,313.49649162721767,1.5,0.9617038345279488,298.5397725313447,10.0,0.3773729793828347,140.99370965084125,1.0,0.1832636830719547,280.3221320539897,10.0,0.1938043732677371,171.3483786005207,1.5,0.6572390142522273,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,1894429071.1999905,0,0.0,0.0,2.761909785315852,0.0
22,19,343.7490962928834,1.0,0.1464029224107495,181.81200626922052,1.0,0.3068668781026944,151.13924158305758,1.5,0.0232917281740531,235.72727007543276,1.5,0.6154515877698203,235.65524518002215,10.0,0.1491627296940619,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,2926311836.3164625,0,0.0,0.0,2.485065400605945,0.0
24,73,217.900668412846,1.0,0.1034933127007101,144.28097785927554,1.0,0.9472783731322544,199.8465443988654,1.5,0.1506185109598058,84.49797755096839,1.0,0.6364328643154906,269.4104035496069,1.0,0.833827024659488,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,2612445050.588998,0,0.0,0.0,2.2036491479555904,0.0
25,69,306.5850342746163,1.0,0.91586143769876,145.3282446811413,1.0,0.2531709541823683,126.00676236388294,10.0,0.0136343469452716,254.27405718137172,10.0,0.3746289088073714,257.68623869977625,1.5,0.4197186249233094,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,2246445239.7234635,0,0.0,0.0,3.773590480920581,0.0
35,69,65.0661728793297,1.0,0.5530282528320613,204.1263077589298,10.0,0.4351898564867238,121.2161813520151,10.0,0.1086320318112188,237.61348716104783,10.0,0.0153089777421195,278.72934247215403,10.0,0.8168500509415076,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,2827039972.2671747,0,0.0,0.0,3.814290564248008,0.0
40,129,136.68439819969063,10.0,0.3479820517696539,266.90746656220006,1.0,0.1719430434830585,219.0705216777543,10.0,0.176631006627761,212.63032971824765,1.5,0.2698564285382372,276.4524006996898,1.0,0.8089138241039954,1.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,3951762300.067924,0,0.0,0.0,3.62107283780992,0.0
44,26,287.3631937386557,1.0,0.5582723631583655,98.70335309456256,10.0,0.1041068967261074,96.15541951804391,1.0,0.0079488799689801,275.8464487291045,1.5,0.0279327749234425,59.87419789317592,1.5,0.0730885856544586,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,3445283646.721339,0,0.0,0.0,4.105395335535302,0.0
49,38,275.896269357139,10.0,0.6533274418965292,77.95781667737513,1.5,0.502305448136988,173.0146548595114,10.0,0.1055825640513854,79.98281058255884,1.5,0.2179621457415149,60.57104643408614,1.0,0.0857295170168088,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,2543234247.7863493,0,0.0,0.0,3.567962763437174,0.0
